,home,away,score,season,home_stadium,away_stadium,home_coordinates,away_coordinates,distance
3140,Newcastle United,Everton,1–1,1999-00,St James' Park,Goodison Park,"54.9754693, -1.621873666214279","53.4387191, -2.9664539939087415",119.44762936330277
3141,Newcastle United,Leeds United,2–2,1999-00,St James' Park,Elland Road,"54.9754693, -1.621873666214279","53.764161, -1.5832414",83.79585609394958
3142,Newcastle United,Leicester City,0–2,1999-00,St James' Park,King Power Stadium,"54.9754693, -1.621873666214279","52.62039695, -1.1423352051152724",164.05333688519048
3143,Newcastle United,Liverpool,2–2,1999-00,St James' Park,Anfield,"54.9754693, -1.621873666214279","53.4308358, -2.9609095414165294",119.83332074626148
3144,Newcastle United,Manchester United,3–0,1999-00,St James' Park,Old Trafford,"54.9754693, -1.621873666214279","53.46310955, -2.2913864850545362",108.06264935608701
3145,Newcastle United,Middlesbrough,2–1,1999-00,St James' Park,Riverside Stadium,"54.9754693, -1.621873666214279","54.57831335, -1.2169383040174622",31.887772177146843
3146,Newcastle United,Sheffield Wednesday,8–0,1999-00,St James' Park,Hillsborough,"54.9754693, -1.621873666214279","53.41137895, -1.500631103337827",108.29031634353392
3147,Newcastle United,Southampton,5–0,1999-00,St James' Park,St Mary's Stadium,"54.9754693, -1.621873666214279","50.90582665, -1.390881661218431",281.57793391787885
3148,Newcastle United,Sunderland,1–2,1999-00,St James' Park,Stadium of Light,"54.9754693, -1.621873666214279","54.914395299999995, -1.3882579326202478",10.216612583677078
3149,Newcastle United,Tottenham Hotspur,2–1,1999-00,St James' Park,Tottenham Hotspur Stadium,"54.9754693, -1.621873666214279","51.604157, -0.0662604100000004",241.86876746869447
3150,Newcastle United,Watford,1–0,1999-00,St James' Park,Vicarage Road,"54.9754693, -1.621873666214279","51.6501515, -0.4032259",235.42147080564988
3151,Newcastle United,West Ham United,2–2,1999-00,St James' Park,London Stadium,"54.9754693, -1.621873666214279","51.53862065, -0.016623759002470637",246.79735053010512
3152,Newcastle United,Wimbledon,3–3,1999-00,St James' Park,Selhurst Park,"54.9754693, -1.621873666214279","51.39824295, -0.085255058181276",255.4577255236427
3153,Sheffield Wednesday,Arsenal,1–1,1999-00,Hillsborough,Emirates Stadium,"53.41137895, -1.500631103337827","51.55504035, -0.1083996708672374",141.16305326507015
3154,Sheffield Wednesday,Aston Villa,0–1,1999-00,Hillsborough,Villa Park,"53.41137895, -1.500631103337827","52.5091264, -1.8850354312212985",64.42176269100105
3155,Sheffield Wednesday,Bradford City,2–0,1999-00,Hillsborough,Valley Parade,"53.41137895, -1.500631103337827","53.804330449999995, -1.7593827869834464",29.184856592207243
3156,Sheffield Wednesday,Chelsea,1–0,1999-00,Hillsborough,Stamford Bridge,"53.41137895, -1.500631103337827","51.481686499999995, -0.19103517666346065",144.43637338879628
3157,Sheffield Wednesday,Coventry City,0–0,1999-00,Hillsborough,Coventry Building Society Arena,"53.41137895, -1.500631103337827","52.44816495, -1.4971183945757918",66.60569299159363
3158,Sheffield Wednesday,Derby County,0–2,1999-00,Hillsborough,Pride Park Stadium,"53.41137895, -1.500631103337827","52.9149454, -1.4473191031335255",34.40078874280598
3159,Sheffield Wednesday,Everton,0–2,1999-00,Hillsborough,Goodison Park,"53.41137895, -1.500631103337827","53.4387191, -2.9664539939087415",60.57615066209088
3160,Sheffield Wednesday,Leeds United,0–3,1999-00,Hillsborough,Elland Road,"53.41137895, -1.500631103337827","53.764161, -1.5832414",24.63299427338779
3161,Sheffield Wednesday,Leicester City,4–0,1999-00,Hillsborough,King Power Stadium,"53.41137895, -1.500631103337827","52.62039695, -1.1423352051152724",56.7005119530115
3162,Sheffield Wednesday,Liverpool,1–2,1999-00,Hillsborough,Anfield,"53.41137895, -1.500631103337827","53.4308358, -2.9609095414165294",60.33821373004979
3163,Sheffield Wednesday,Manchester United,0–1,1999-00,Hillsborough,Old Trafford,"53.41137895, -1.500631103337827","53.46310955, -2.2913864850545362",32.84903113466075
3164,Sheffield Wednesday,Middlesbrough,1–0,1999-00,Hillsborough,Riverside Stadium,"53.41137895, -1.500631103337827","54.57831335, -1.2169383040174622",81.53075920303974
3165,Sheffield Wednesday,Newcastle United,0–2,1999-00,Hillsborough,St James' Park,"53.41137895, -1.500631103337827","54.9754693, -1.621873666214279",108.29031634353392
3166,Sheffield Wednesday,Southampton,0–1,1999-00,Hillsborough,St Mary's Stadium,"53.41137895, -1.500631103337827","50.90582665, -1.390881661218431",173.29711091303716
3167,Sheffield Wednesday,Sunderland,0–2,1999-00,Hillsborough,Stadium of Light,"53.41137895, -1.500631103337827","54.914395299999995, -1.3882579326202478",104.05398214495081
3168,Sheffield Wednesday,Tottenham Hotspur,1–2,1999-00,Hillsborough,Tottenham Hotspur Stadium,"53.41137895, -1.500631103337827","51.604157, -0.0662604100000004",138.83443809224042
3169,Sheffield Wednesday,Watford,2–2,1999-00,Hillsborough,Vicarage Road,"53.41137895, -1.500631103337827","51.6501515, -0.4032259",130.2710187500012
3170,Sheffield Wednesday,West Ham United,3–1,1999-00,Hillsborough,London Stadium,"53.41137895, -1.500631103337827","51.53862065, -0.016623759002470637",143.84446110984268
3171,Sheffield Wednesday,Wimbledon,5–1,1999-00,Hillsborough,Selhurst Park,"53.41137895, -1.500631103337827","51.39824295, -0.085255058181276",151.5099332320639
3172,Southampton,Arsenal,0–1,1999-00,St Mary's Stadium,Emirates Stadium,"50.90582665, -1.390881661218431","51.55504035, -0.1083996708672374",71.50008498688054
3173,Southampton,Aston Villa,2–0,1999-00,St Mary's Stadium,Villa Park,"50.90582665, -1.390881661218431","52.5091264, -1.8850354312212985",112.85697585520244
3174,Southampton,Bradford City,1–0,1999-00,St Mary's Stadium,Valley Parade,"50.90582665, -1.390881661218431","53.804330449999995, -1.7593827869834464",201.01525832187838
3175,Southampton,Chelsea,1–2,1999-00,St Mary's Stadium,Stamford Bridge,"50.90582665, -1.390881661218431","51.481686499999995, -0.19103517666346065",65.5802634867851
3176,Southampton,Coventry City,0–0,1999-00,St Mary's Stadium,Coventry Building Society Arena,"50.90582665, -1.390881661218431","52.44816495, -1.4971183945757918",106.72647641065437
3177,Southampton,Derby County,3–3,1999-00,St Mary's Stadium,Pride Park Stadium,"50.90582665, -1.390881661218431","52.9149454, -1.4473191031335255",138.92590037110247
3178,Southampton,Everton,2–0,1999-00,St Mary's Stadium,Goodison Park,"50.90582665, -1.390881661218431","53.4387191, -2.9664539939087415",187.48422344566495
3179,Southampton,Leeds United,0–3,1999-00,St Mary's Stadium,Elland Road,"50.90582665, -1.390881661218431","53.764161, -1.5832414",197.79930406620412
3180,Southampton,Leicester City,1–2,1999-00,St Mary's Stadium,King Power Stadium,"50.90582665, -1.390881661218431","52.62039695, -1.1423352051152724",119.016076291141
3181,Southampton,Liverpool,1–1,1999-00,St Mary's Stadium,Anfield,"50.90582665, -1.390881661218431","53.4308358, -2.9609095414165294",186.89305817352593
3182,Southampton,Manchester United,1–3,1999-00,St Mary's Stadium,Old Trafford,"50.90582665, -1.390881661218431","53.46310955, -2.2913864850545362",180.9020488221547
3183,Southampton,Middlesbrough,1–1,1999-00,St Mary's Stadium,Riverside Stadium,"50.90582665, -1.390881661218431","54.57831335, -1.2169383040174622",254.0461031948454
3184,Southampton,Newcastle United,4–2,1999-00,St Mary's Stadium,St James' Park,"50.90582665, -1.390881661218431","54.9754693, -1.621873666214279",281.57793391787885
3185,Southampton,Sheffield Wednesday,2–0,1999-00,St Mary's Stadium,Hillsborough,"50.90582665, -1.390881661218431","53.41137895, -1.500631103337827",173.29711091303716
3186,Southampton,Sunderland,1–2,1999-00,St Mary's Stadium,Stadium of Light,"50.90582665, -1.390881661218431","54.914395299999995, -1.3882579326202478",277.1883534557659
3187,Southampton,Tottenham Hotspur,0–1,1999-00,St Mary's Stadium,Tottenham Hotspur Stadium,"50.90582665, -1.390881661218431","51.604157, -0.0662604100000004",75.0463785721952
3188,Southampton,Watford,2–0,1999-00,St Mary's Stadium,Vicarage Road,"50.90582665, -1.390881661218431","51.6501515, -0.4032259",66.94180244434101
3189,Southampton,West Ham United,2–1,1999-00,St Mary's Stadium,London Stadium,"50.90582665, -1.390881661218431","51.53862065, -0.016623759002470637",73.97428275553311
3190,Southampton,Wimbledon,2–0,1999-00,St Mary's Stadium,Selhurst Park,"50.90582665, -1.390881661218431","51.39824295, -0.085255058181276",66.18625495325222
3191,Sunderland,Arsenal,0–0,1999-00,Stadium of Light,Emirates Stadium,"54.914395299999995, -1.3882579326202478","51.55504035, -0.1083996708672374",238.2895775092823
3192,Sunderland,Aston Villa,2–1,1999-00,Stadium of Light,Villa Park,"54.914395299999995, -1.3882579326202478","52.5091264, -1.8850354312212985",167.5872317844864
3193,Sunderland,Bradford City,0–1,1999-00,Stadium of Light,Valley Parade,"54.914395299999995, -1.3882579326202478","53.804330449999995, -1.7593827869834464",78.22821735227731
3194,Sunderland,Chelsea,4–1,1999-00,Stadium of Light,Stamford Bridge,"54.914395299999995, -1.3882579326202478","51.481686499999995, -0.19103517666346065",242.52028830516423
3195,Sunderland,Coventry City,1–1,1999-00,Stadium of Light,Coventry Building Society Arena,"54.914395299999995, -1.3882579326202478","52.44816495, -1.4971183945757918",170.61803767269
3196,Sunderland,Derby County,1–1,1999-00,Stadium of Light,Pride Park Stadium,"54.914395299999995, -1.3882579326202478","52.9149454, -1.4473191031335255",138.30439101488358
3197,Sunderland,Everton,2–1,1999-00,Stadium of Light,Goodison Park,"54.914395299999995, -1.3882579326202478","53.4387191, -2.9664539939087415",120.48065649188544
3198,Sunderland,Leeds United,1–2,1999-00,Stadium of Light,Elland Road,"54.914395299999995, -1.3882579326202478","53.764161, -1.5832414",79.9459199689578
3199,Sunderland,Leicester City,2–0,1999-00,Stadium of Light,King Power Stadium,"54.914395299999995, -1.3882579326202478","52.62039695, -1.1423352051152724",158.97001409831688
3200,Sunderland,Liverpool,0–2,1999-00,Stadium of Light,Anfield,"54.914395299999995, -1.3882579326202478","53.4308358, -2.9609095414165294",120.8270704720017
3201,Sunderland,Manchester United,2–2,1999-00,Stadium of Light,Old Trafford,"54.914395299999995, -1.3882579326202478","53.46310955, -2.2913864850545362",106.85003439125472
3202,Sunderland,Middlesbrough,1–1,1999-00,Stadium of Light,Riverside Stadium,"54.914395299999995, -1.3882579326202478","54.57831335, -1.2169383040174622",24.236587445363337
3203,Sunderland,Newcastle United,2–2,1999-00,Stadium of Light,St James' Park,"54.914395299999995, -1.3882579326202478","54.9754693, -1.621873666214279",10.216612583677078
3204,Sunderland,Sheffield Wednesday,1–0,1999-00,Stadium of Light,Hillsborough,"54.914395299999995, -1.3882579326202478","53.41137895, -1.500631103337827",104.05398214495081
3205,Sunderland,Southampton,2–0,1999-00,Stadium of Light,St Mary's Stadium,"54.914395299999995, -1.3882579326202478","50.90582665, -1.390881661218431",277.1883534557659
3206,Sunderland,Tottenham Hotspur,2–1,1999-00,Stadium of Light,Tottenham Hotspur Stadium,"54.914395299999995, -1.3882579326202478","51.604157, -0.0662604100000004",235.37395685251963
3207,Sunderland,Watford,2–0,1999-00,Stadium of Light,Vicarage Road,"54.914395299999995, -1.3882579326202478","51.6501515, -0.4032259",229.38882939155042
3208,Sunderland,West Ham United,1–0,1999-00,Stadium of Light,London Stadium,"54.914395299999995, -1.3882579326202478","51.53862065, -0.016623759002470637",240.27050733867807
3209,Sunderland,Wimbledon,2–1,1999-00,Stadium of Light,Selhurst Park,"54.914395299999995, -1.3882579326202478","51.39824295, -0.085255058181276",249.0956597368903
3210,Tottenham Hotspur,Arsenal,2–1,1999-00,Tottenham Hotspur Stadium,Emirates Stadium,"51.604157, -0.0662604100000004","51.55504035, -0.1083996708672374",3.850268692416027
3211,Tottenham Hotspur,Aston Villa,2–4,1999-00,Tottenham Hotspur Stadium,Villa Park,"51.604157, -0.0662604100000004","52.5091264, -1.8850354312212985",99.61289281044768
3212,Tottenham Hotspur,Bradford City,1–1,1999-00,Tottenham Hotspur Stadium,Valley Parade,"51.604157, -0.0662604100000004","53.804330449999995, -1.7593827869834464",167.92266951609247
3213,Tottenham Hotspur,Chelsea,0–1,1999-00,Tottenham Hotspur Stadium,Stamford Bridge,"51.604157, -0.0662604100000004","51.481686499999995, -0.19103517666346065",10.030791911167189
3214,Tottenham Hotspur,Coventry City,3–2,1999-00,Tottenham Hotspur Stadium,Coventry Building Society Arena,"51.604157, -0.0662604100000004","52.44816495, -1.4971183945757918",84.43188004300724
3215,Tottenham Hotspur,Derby County,1–1,1999-00,Tottenham Hotspur Stadium,Pride Park Stadium,"51.604157, -0.0662604100000004","52.9149454, -1.4473191031335255",107.91694352414497
3216,Tottenham Hotspur,Everton,3–2,1999-00,Tottenham Hotspur Stadium,Goodison Park,"51.604157, -0.0662604100000004","53.4387191, -2.9664539939087415",176.19176657871688
3217,Tottenham Hotspur,Leeds United,1–2,1999-00,Tottenham Hotspur Stadium,Elland Road,"51.604157, -0.0662604100000004","53.764161, -1.5832414",162.38114162946735
3218,Tottenham Hotspur,Leicester City,2–3,1999-00,Tottenham Hotspur Stadium,King Power Stadium,"51.604157, -0.0662604100000004","52.62039695, -1.1423352051152724",83.87276347959926
3219,Tottenham Hotspur,Liverpool,1–0,1999-00,Tottenham Hotspur Stadium,Anfield,"51.604157, -0.0662604100000004","53.4308358, -2.9609095414165294",175.64496040805957
3220,Tottenham Hotspur,Manchester United,3–1,1999-00,Tottenham Hotspur Stadium,Old Trafford,"51.604157, -0.0662604100000004","53.46310955, -2.2913864850545362",159.11937083497463
3221,Tottenham Hotspur,Middlesbrough,2–3,1999-00,Tottenham Hotspur Stadium,Riverside Stadium,"51.604157, -0.0662604100000004","54.57831335, -1.2169383040174622",211.16309542349074
3222,Tottenham Hotspur,Newcastle United,3–1,1999-00,Tottenham Hotspur Stadium,St James' Park,"51.604157, -0.0662604100000004","54.9754693, -1.621873666214279",241.86876746869447
3223,Tottenham Hotspur,Sheffield Wednesday,0–1,1999-00,Tottenham Hotspur Stadium,Hillsborough,"51.604157, -0.0662604100000004","53.41137895, -1.500631103337827",138.83443809224042
3224,Tottenham Hotspur,Southampton,7–2,1999-00,Tottenham Hotspur Stadium,St Mary's Stadium,"51.604157, -0.0662604100000004","50.90582665, -1.390881661218431",75.0463785721952
3225,Tottenham Hotspur,Sunderland,3–1,1999-00,Tottenham Hotspur Stadium,Stadium of Light,"51.604157, -0.0662604100000004","54.914395299999995, -1.3882579326202478",235.37395685251963
3226,Tottenham Hotspur,Watford,4–0,1999-00,Tottenham Hotspur Stadium,Vicarage Road,"51.604157, -0.0662604100000004","51.6501515, -0.4032259",14.84357452563702
3227,Tottenham Hotspur,West Ham United,0–0,1999-00,Tottenham Hotspur Stadium,London Stadium,"51.604157, -0.0662604100000004","51.53862065, -0.016623759002470637",5.010023128110013
3228,Tottenham Hotspur,Wimbledon,2–0,1999-00,Tottenham Hotspur Stadium,Selhurst Park,"51.604157, -0.0662604100000004","51.39824295, -0.085255058181276",14.258910611775795
3229,Watford,Arsenal,2–3,1999-00,Vicarage Road,Emirates Stadium,"51.6501515, -0.4032259","51.55504035, -0.1083996708672374",14.294728116403407
3230,Watford,Aston Villa,0–1,1999-00,Vicarage Road,Villa Park,"51.6501515, -0.4032259","52.5091264, -1.8850354312212985",86.66605342010018
3231,Watford,Bradford City,1–0,1999-00,Vicarage Road,Valley Parade,"51.6501515, -0.4032259","53.804330449999995, -1.7593827869834464",159.45586998502637
3232,Watford,Chelsea,1–0,1999-00,Vicarage Road,Stamford Bridge,"51.6501515, -0.4032259","51.481686499999995, -0.19103517666346065",14.806273150484031
3233,Watford,Coventry City,1–0,1999-00,Vicarage Road,Coventry Building Society Arena,"51.6501515, -0.4032259","52.44816495, -1.4971183945757918",72.237608917591
3234,Watford,Derby County,0–0,1999-00,Vicarage Road,Pride Park Stadium,"51.6501515, -0.4032259","52.9149454, -1.4473191031335255",98.01666184547463
3235,Watford,Everton,1–3,1999-00,Vicarage Road,Goodison Park,"51.6501515, -0.4032259","53.4387191, -2.9664539939087415",164.20296971449585
3236,Watford,Leeds United,1–2,1999-00,Vicarage Road,Elland Road,"51.6501515, -0.4032259","53.764161, -1.5832414",154.34362411634868
3237,Watford,Leicester City,1–1,1999-00,Vicarage Road,King Power Stadium,"51.6501515, -0.4032259","52.62039695, -1.1423352051152724",74.08635680946719
